Init: HR = 0.0934, NDCG = 0.0429
Iteration 82 [92.8 s]: HR = 0.6785, NDCG = 0.4054, loss = 0.2147 [3.5 s]
Iteration 83 [93.4 s]: HR = 0.6760, NDCG = 0.4021, loss = 0.2146 [3.6 s]
Iteration 84 [93.7 s]: HR = 0.6732, NDCG = 0.4017, loss = 0.2144 [3.6 s]
Iteration 85 [92.9 s]: HR = 0.6762, NDCG = 0.4014, loss = 0.2145 [3.6 s]
Iteration 86 [92.8 s]: HR = 0.6707, NDCG = 0.3987, loss = 0.2142 [3.7 s]
Iteration 87 [92.8 s]: HR = 0.6735, NDCG = 0.3989, loss = 0.2142 [3.7 s]
Iteration 88 [92.9 s]: HR = 0.6730, NDCG = 0.4020, loss = 0.2139 [3.6 s]
Iteration 89 [93.3 s]: HR = 0.6682, NDCG = 0.4000, loss = 0.2142 [3.5 s]
Iteration 90 [93.4 s]: HR = 0.6685, NDCG = 0.4003, loss = 0.2142 [3.8 s]
Iteration 91 [92.8 s]: HR = 0.6715, NDCG = 0.4010, loss = 0.2140 [3.5 s]
Iteration 92 [93.2 s]: HR = 0.6755, NDCG = 0.4050, loss = 0.2139 [3.7 s]
Iteration 93 [92.9 s]: HR = 0.6687, NDCG = 0.4007, loss = 0.2135 [3.7 s]
Iteration 94 [93.9 s]: HR = 0.6700, NDCG = 0.3981, loss = 0.2138 [3.6 s]
Iteration 95 [92.6 s]: HR = 0.6710, NDCG = 0.4026, loss = 0.2137 [3.6 s]
Iteration 96 [93.1 s]: HR = 0.6656, NDCG = 0.3963, loss = 0.2137 [3.5 s]
Iteration 97 [93.1 s]: HR = 0.6747, NDCG = 0.4021, loss = 0.2137 [3.5 s]
Iteration 98 [93.2 s]: HR = 0.6682, NDCG = 0.3973, loss = 0.2136 [3.6 s]
Iteration 99 [93.0 s]: HR = 0.6725, NDCG = 0.4008, loss = 0.2135 [3.5 s]
End. Best Iteration 18:  HR = 0.6921, NDCG = 0.4099. 
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_8_[64,32,16,8]_1532239511.h5
